text,label
got this at 59k in big billion days my experience till nowdisplay amazing display and butter smooth with 144hz no screen bleeding or dead pixels910battery i got 4 hrs from 87 to 15 when i was browsing and downloading windows in the background and valorant with 50 brightness i checked its battery health and it was 100910performance stellar this machine can run valorant or gta5 with 90 fps which is awesome1010camera average 610 but it will get the things donek,2
ok no problem,1
very good delivery but worst installation mannarno pipe in packing box 1 length from chemney to out going walli purched the pipe no body can help me to fit it,0
good t shirts,2
osm watch and beautiful product,2
everything is nice but power cord is too short,1
a bit of heating issues at the ultra setting and also lower setting rtx is just superb battery not much good over all its good and with for money,1
quality is good comfortable for baby,2
it comes to me punchure but my small brother is playing with it,1
only 50 pages print,1
the worst product i have ever seen in my life,0
the best available so far,2
worst item ever i had bought from flipkart please return this product rather it is now useless itamactually its worst one time worked then its failure now its damaged laying it its packet,0
tq flipcart fast deliveryawesome product,2
very bad mobile,0
dear flipkart thanks for ur good services and pey latter systems for me nice product and quality and original product thanks once again nice services in ur side,2
product quality is poor,0
waste of moneynot getting normal clear printtotal waste of money,0
this is a modified sine wave inverter not pure sine wave as mentioned in specifications,1
delivered on timeregarding cooler everything is good except water filler as its on front side very difficult to fill waterwhen we placed on window as required proper ventilation,2
does what it says after the update the os responds swiftlycec feature helps in using your tv remote no lags while playing any applications so far,0
very basic finishing is very poor though packaging was good i would say think twice before you buy,0
vry thin metarial,1
the length of the cord should be more frequent plugging and deplugging the equipment is a thing which could have been avoided if the cord length was longer than what is supplied,0
cheapest,1
product good,2
quality is very poor and water leaks,0
the product is looking good but the sound quality is not good,1
philips product is always no 1 nice juicer i always suggest philips product,2
its too small and over priced,1
causes coughingi read all reviews before buying thiseven though it purifies air quicklyi got secondary allergy from activated carbon filterdid not work for mecaused more allergy,1
i read many review for this tv many customer said it have a brightness problemm but i have not gat any brightness issue no connectivity problem i cast youtube hotstar and see full ipl match but i have not face any issues picture quality not very good but not bad especially i clear that not only hd channels is showing good picture quality also sd channel is showing also too good so i think this is a good choice in this range android 81 working too good jio tv also wondering on itaft,0
butefull prodeat,1
product is good if compare it to others in this range you wont be disappointed at least can go for this,2
simply wow easy to connect but 1 hour connecting to tv notice heating issue on chromecast,1
very small in sizenot expected,1
y y,1
the product worked but unfortunately i could not connect it with my wifi replaced unit also failed the same way,0
ok hape,1
just worked only two days after that the two boxes not working very waste products nobody purchase the item now the item is scrap only used two days low quality priducts money is gone useless fellows to sale the product and cheat,0
very power,1
so good velue for that amount,2
nice product at this price range but noise is high,2
nice lets play football,2
worst product fake returns policy dont buy,0
cooler is okbt service is good,2
was okey,1
product is goodbut bowl size is too small,0
battery backup not so good ryzen is very good comparable to i7 10th gen,0
super best price good quality but duct pipes is not included,2
very high costbut good,1
it is good product,2
its too small only less than 1 yr baby can sit,1
best ipad 9th gud in all terms of usage,2
very small in size,1
its useful but broke in 1 month,0
average cloth not big one small,1
hate it lid not proper work,0
useless bcz of paper,0
big cooler but speed is average,1
read speed 85 mbpswrite speed 32 mbps,1
temperature doesnt stay long,1
very bad experience passwords went wrong cant sign in epic game so many errors in this lappy worst dont buy,0
very poor quality dont buy,0
vry beuifull and big size carpettank u flipkart4time i buy,1
take too much time to grinddont buy this,0
very bad waste of money not useful,0
very bad product totally different,0
power heating indicator not blinking even providing power supply for more than 30min water was not heated at all worst purchased,0
dont buy too slow in 3 stage too fast in 4th stage and noisy sounds coming,0
germination rate of some seeds were good but some seeds were very badonly 50 seeds were germinated from my total seeds this was a bad experience some seeds like pitunia merigold sun flower sungold etc were not hybrid seeds these were normal or ordinary seeds and worst quality,0
osmits is suitable for 6 feet boys,1
fabric shrinks after wash,2
damage d meterial,0
its very hardand bounce very highbutafterall its a good and worth product,1
totally useless100 bad investmenti recommend not purchase the product,0
greatworth the moneylittle bit lighter than usual,2
after one week not working,1
got this one for rs2434 during bbd sale amazing from 15tb you will get 135 tb,2
the water pressure is very low from the hot valve,0
super thanks to flipkart perfect product for childrens,2
this product bad iam used 55 in chest tv in 20 days the plug wire burn,0
delivery is late bt product is very gooddddd,1
very worst dont buy anyone,0
average watch for daily use only,1
price very high,0
awesome kit,2
at the time of installation kents technician fix the tds level only 16 for that reason i faced some indigestion problem on subsequent date they fixed it 100 level now it is ok flipkart timely delivered the kent filter and kent installed the filter in time,2
connectivity issue with bluetooth not connect properly,1
overall a satisfying product thanks to flipkart and seller,2
good product but no battery included5 battery needed to run this car ie extra 75 rupee for battery,1
light weight iron box,1
size is little small then i expect,1
very excellent bat but quality is not good not given cover with this,0
picture quality is not clear but has i did not like the camera,0
very good product and packaging is to good,2
anchor fastner not provided even suitable anchor fastner is not available in market i have to fit basin anchor fastner not good experience there is safety concern,0
very very very very very very very very very very very bad,0
worth of quality,2
good product we are using per day continuously 2 times 3 months no problem no sound and but one think coconut chopped is very show upcoming update model requires fast coconut chopping machine speed ekart delivery guy is very professional,0
good quality 3d car and baby enjoy and car is so much attractive and everything features is excellent,2
very low quality in this price,0
not smudge proof,0
very good beautiful,2
quality of this bluetooth speaker is amazing and bass is perfect and sound quality is super and i really love this brand and this speaker thanks for fast delivery,2
brand changed,1
really its good producti love it grinding very well over all value for moneyif u r cooking in 2 person that product are really best,2
dont update the laptop if you install microsoft updates it results with a blue screen,1
its not too good but ok,1
awesome brand awesome product affordable price thanks to flipkart,2
worst experience with flipkart non delivery of product on time failed purpose as it was to be gifted on 6th itself flipkart did nothing except deceiving,0
product is good but full accessories not received with the product nuts which are required for firmly fitting of adapter were missing only 2 nuts present instead of 4 i would suggest that include sediment prefilter along with product and price may be fixed accordingly the installation guy charged me 1200 for fitting of sediment prefilter of zed flow company i request the kent guys to ensure all the accessories before packing of product and review the quality,0
i love experimenting with my hair and it requires a lot of care to keep it soft and smooth i believe oiling is very important and i keep trying new hair oil for the sameloving this light and non sticky oil it has amazing fragrance best part is i can use this before shower and also after hair wash for styling my hair price is also very reasonable it makes my hair smooth and gives it bouncy look after washi have been using this oil for a while and i love its fragrance and light nonsti,2
batter then,1
average itam,1
excellent quality good product very smooth,2
this thing is loud but not in good way it screams zero bass it takes around 3 minutes to stop saying the pre loaded dialogues to establish the bluetooth connectionwelcome to woos bluetooth speaker bluetooth device ready to pairbluetooth device connected successfullyand that too in a wierd accent if you have guests make sure you connect the device before they reach near your homeend of the day everything is worth what you pay,0
excellent as expected delivered,2
verry por quality,0
sounds problem,0
not germination,1
unsatisfactory product out of 2 stones 1 stone was working and other was getting stuck in the middle gets heated within 10 minutes of working on dialing to customer care agent call gets diverted to some other locationa complete defective product waste of spending money on the product if its not working as expected,0
size of bowl is too small,1
soundbar is very nice clear voice good bass but hdmi not work properly,1
very good productsatisfied,2
ita very small,1
rates a little bit higher,1
great as usual,2
looks good only issue is with the bulbs included in the package it doesnt look good so i had to change them,0
not for heavy duty only production plant not for project,1
amazing quality worth of money o just loved it,2
dont expect quality it only provide us quantity after wash you will get bad results,0
its very good same as shown in picture good quality material is used quite satisfactory,2
i bought this sound bar connected to my samsung n4300 smart tv via hdmi as well as optical i can hear sound from my channels thru my set up box but while playing usb im not getting sound from sound bar but it plays mp3 kindly guide me,2
it is very small size,1
result after 20 days,1
not good nor bad,1
hdmi arc dosnet work properly overall ok good product in under 36k,1
exlent,1
voice slow,1
good product nice qualitythanks flipcart,2
i did not expect such useless product from google voice command is so poor it does not listens to any tried all the trouble shooting but no use,0
awsm im very happy to get this one exact colour quality stichting everything is 10 on 10 thanks vego and thanks flipcart,2
nice my name is vaibhav,2
very good qualitybest pricefast delivery in 2days thanks to flipcart ekartdata transfer seed is very goodlow noisbest product must buy,2
power motor quality product,2
one plate broken,0
dont buy this product if you store multivitamins the tabs will go soft as the containers are not airtight its basically a waste of medicine,0
very bad installation process and like how he come to install it anyway and he installed it wrong and didnt pic the phone also roud behavior,0
good but sometimes voice commands doesnt work need to restart and then it works,1
geting over heat,0
best product ever delivery was quick loved it,2
not so good average quality products,1
motor performance is good but making a lot of noise,1
it did not come with antislip back as described,1
somewhat okay quality not that much worth for money also stritching,1
dosent support more than 50 mbps dont waste your money on this router,0
cargo pant is very nice but size is not perfect,0
wonderful super awesome product crompton fan is very nice good my rating is 5 star thnku flipkart saguest for ciling fan,2
looking not well,0
very weak cant bear liitle bit load 900rs is very high for this product,0
i really loved it and juicers is to good it grinds to fast it s a very nice product,2
this is very bad product do not buy this,0
not good fan,0
i have tried so many times but it is not detecting in my printer so please help me if possible or els send another,0
good productworking very well and very easy to use,2
good cooler with many features but used low quality plasticotherwise product is very good,2
delivery was late but product is good delivery guy had a good behaviour,2
nice basss,2
good quality product but little transpired its ok iam so happy thank you flipkart,2
dont buy this waste of money go buy this in shops i am not writing full problems but its handle gears and suspension worst very hard to ride on roads specially on bridges,0
prodect as los,1
dont price worth but good product,1
worst quality butterfly mixer and regret with the purchase very very poor quality it is not grinding properly blades are blund and not sharp enough to grind,0
blanket quality is good,2
classy its easily breakable and heavy weight otherwise really good same as shown in the pic,2
size is too small i expect some what bigger size,1
i like to return the product not working,0
very very good product but please check for the power adapter its either not there or not working,1
very nice product and full cerfully delivery,2
this football is not goodits heavyit has no blader it is not stitchedonly design of stitch is shownair leaks from the valvso i will not suggest you to buy itat fist i thought this fball is too good but not it is worse,0
not much to review you all know everything is as given but i am yet to see the battery last more than 10 hours,1
mind blowing product,1
beautiful nice product usedfull value of money,2
very bad fibre,0
product is goodbeing a fitness freak it is good to take heavy weights,1
kind of ok do not expect the quality like crocs i am using it for 2 weeks now so far its nice to wear around the corners,1
product is not goodscreen problam,0
good quality large size non slippery got three for four fifty recommended,2
superb quality silent charge batteries effectively price is also fare giving good performance so far no problem occured one may go for it given the price it is worthy item better than microtek,2
average android phone,1
nt so gud,0
ok byy,1
quality is not good,1
camera is good but some bugs need to be fixed the display is very classy and the colors are so elegant and bright then get this phone at low price its features are more than enough satisfied with the phoneif you are looking for a camera centric phoneand your budget is a low go for another phonecamera is a bit grainyperformance is good but not as expected,2
not good quality or no working properly,0
is very good but price higher,1
not so much,1
product is supplied as depicted,1
poor quality returned,0
product is found okand in working condition flipkart delivery service is goodone day early delivery,2
repair,1
awesomethe range is awesome go for it,2
goodbut delivered after 17 daysthis made me unpleaser,1
price to worth,2
very pathetic ro systemservice providers are rude every 15 days some problems occurred in ro and they will never reply proper reply and asking for money everytime to change in built things never purchased kent ro system from my point of view specially from flipkart,0
very bad product dont believe this,0
good but there was a problem when i used as a hotspot and when i power off and again power on in that time its not connected to other router,1
sticker is coming out,1
dont fit on base,0
excellent product at rs320,2
ok ok types,1
beautiful product must go for this,2
material gd,2
rods n hooks are ok but its cover is not durable and doesnt cover the wardrobe properly very tight n short,1
this is nice product but this is very light,2
how can i buy extra remote,1
all are good but heating problem,1
its nicenot disappointing,0
the product fully meets its functionality in this price range once it is assembled correctly it seems sturdy compatible and elegant and also pertains very much similar to the image provided for product reference this would be a great desk to opt for if you are living in a confined environment since it wont take up that much space the assembling seems pretty easy all i needed was just a star driver and that too i assembled myself since my hubby was out of town when the product was,2
verry bad quality,0
working is good,2
awesome qualityvery good comfort and looks butifuljust open the packet and it instantly inflateslike it,2
sound quality is amazing and speaker quality is excellent it looks attractiveit has fm mode aa well,2
heating problem within 45 minutes,0
overall ok,1
do not buy this product their kits does not work at all nor their applications or kit scanning numbers work,0
awesm,2
rice quality is not goodif you will prepare rice according to the manual provided in it then the rice will remain half boiled,1
poor quality packing damaged product received,0
all questions are object type and one or more questions are repated,1
paisa wasoool home theatre,1
received this product we purchase this mixer only because of bajaj but after some time its button got damaged not repaired by local electric store,0
hindi language not understand properly,1
not suitable in innova 2013 model,1
its not durable the microfibers are coming out,1
very good quality and excellent camphor holder awesome quality,2
when arrived after order one item was broken then we replaced it but in the replacement package nearly all the items were broken so flipkart was alright in its service but it was just not meant to have any stars,0
ok but prise high,1
cons fingerprint magnet,1
i love flipkart very much,2
donot purchase this watch no quality nothing to say any good thing,0
built quality is not up to the mark overall avearge,1
very good itam,2
received the product in good packing conditionin two days the service person came and installed the cycle and checked everything will be perfect and get good support from the cult sport teamreceived a call from dietcian pooja cultfit and regarding the diet plan took all the details and explained very clearly and shared the diet planher diet planis very useful for my fitness goal,2
average product but as per price ok,1
dont waste your moneyits damaged just after completion of warrenty,0
dont go on flipkart review i purchase this cooler but totally waste of moneyp,0
tooo bad,0
nice but no without bulp,0
there were some over coloursome stitches were not propely,1
just good never compare with ifb build quality but dish washing quality is far far better than ifb pathetic demo and installation service hence 4 star rated,1
work not properly hitting is poor,0
very nice thanks ekart,2
recieved a defective product power is not on,0
not correct size,1
product is very good i am fully satisfied but seller send me loose piece,1
very good shoe and nice fitting with ossm colour,2
works well but still not sure how voice command can be given from phone,1
so i have been using this pocket for few months now and it is a good product you can buy any pocket in this range with atleast 4 stars and it will turn out to be a good product note the card folder which is shown in the image is practically unusable for me as none of my card fits in it so i did remove it and using pocket without it so keep it simple and buy a pocket with simple design,2
happy with the purchase,2
good for my puja arti,2
ruf and tuf usenot a bad,1
the toy car was not in a good condition to operate as the on off switch was not working and totally we couldnt use that product,0
its small in size,1
too bad network frequency very low,0
chair ok table bad quality,0
this product is good and also cloth quality is best expected color,2
just ok okk,1
good meterialsatisfied,2
awesome product with slighty disappointing battery performance,2
bass is not working after few days,1
dont buy its totally wasted your,0
mi 8 mobile charging 30 min 25 charged 60 min 50 charged no heating issue really good,0
quality product happy with the purchase,2
thickness is more than expected,1
not so satisfied but at this price its ok,1
not so good just ok,1
good smart tv product in low budget,2
thats make my wife very happy its good product i promote it,2
rice box size not as expected,1
osam,2
its awesome cooler huge cooler like bahubali super tough body and serve it purpose of cooling big space in no time very happy thanks maharaja and flipkart,2
good quality as expected,2
3rd class quality,1
a fine product,2
really good product so i am very happy this product because i use this mixture grinder very silence on running time machine amazing prices and good quality,2
wow awesome product,2
one wash it gone,1
not good as shown in picture,0
very very bad products,0
completely worsted money quality is very bad,0
too bad and cheated,0
its okay just my hands,1
i bought it for my gf she liked it very much packing was good and the delivery was on time good deal and product from flipkart,2
good but sometimes the ink dont work properly,1
rate jyada h pr shoes bakwas hkoi bhi mt lena iskolabour log hi kharidte h maine apne mason ko diya,1
assome durable product,2
awsome product quality seeds,2
good speed nd super,2
its not good this shoes like a school shoes my money is wasted,0
good product for phone,2
okay okay this product not a good,1
products is good thanks to flifkart but wire is very short please 2metter long it,2
awaysome,1
waste product product is too small,0
product is average not as per expetance,1
1 pic ok but 2nd not good,0
too small belt,1
its good product thank you flip kart,2
good ro but without uv but kent ace got uv in water tank which is only beneficial when ro is not in use like when you are on vacation so i went for kent ace lite and saved few bucks,1
average sweatshirt not as good as ratings are given,1
cable is too bad charger also worst,0
till now working fine,2
poor quality finishing is not best,0
packing is good my dahlia flower came out very good but other seed does not grow,1
i received the product manufactured in feb 14i tried to contact the manufacturer through toll free number given in the manual for demonstrationbut could not contacti tried to follow the manual and started using on the very second day of use while grinding a little amount of rice it stoppedafter waiting a while and using the overheat protection switch it started and again stopped with in a few secondsafter 4 hours i tried with different materials but in vaini tried to contact them for s,2
for an emergency i had to test with coviself and the result was negative when patient is admitted to the hospital that night they did rtpcr and result came negative as well that built up my trust on coviself good product,2
this is a weast,1
good productvalue for money product,2
nice work and behaviour is very good and now i am satisfied with this complete installation,2
every things is fantasticbut screen mirroring for some phones not working,1
i am fully dependent on it,2
okay to for 2 persons only,1
bad productnow not working,0
audio quality is jst ok if you are looking to buy a soundbar for bedroom then this will work for you and if for living room then go for some other one as it is only 80w the bass is not clear on higher volumes,1
nice ballbut the ball is little bit hard quality is good in this price thanks flipkart,1
battery backup not enough,1
prosceremic coating internallywork for day to day usuagegood build qualityconshandle to open door rather push buttonno coating plate providedno dial for timer and for even 10 minutes times you have to press 60 times,1
7 mint to get hot water,1
go for the next size,1
beat qualitythaks flipkart,1
size normal price high,1
its no rain proof at all,0
it is good but gets burning hot withing 20 seconds of use ordered a replacement as well as the first ones body melted,1
everything is gud but graterblade is not that gud as it grates very thick u cannot make halwa for that again u hve to gring with chopperand there should b 1 more dry jar to grind all masalagrater blader is not as expected it should be more thin,1
very very bad,1
i love this,2
overall very good,2
guddddd i loved it,2
in few seconds its make very hot,0
averagenot so techtile,1
while buying select one smaller size instead of your regular size,1
not working in perfectly,0
i think i got used piece the blade are rusty,1
good product heated water in 20 minutes,2
writing this after 3 months from purchaseperfect fittingno color fading chains are still intact looks stunning and comfortable in short just loved it,2
full speed,1
its good for people who dont want a permanent fitting or less space covered built is good and looks nice i will recommend it,2
best ipad in this rangebest performancewith best battery life,2
quality is good value for money,2
good quality long lasting,2
not bad after all,1
i wouldve given 5 stars as am totally satisfied with the working of the product but i have to consider the packaging and parts as well the worst packaging from flipkart and its main part was missing which joins the two tubes and helps them stand together really dissatisfied as i need to hold both of the tubes while cleaning,0
very good useful product,2
quality is average and price too high according to product,1
product is good working ok,2
very good feel comfortable,2
connected and tested once when purchased the product and it worked post that it does not work any more waste,0
prices are highexpensive product,1
product is good installation and service is really quick and good,2
nice product with good performance totally satisfied,2
not good product dont parches vastes money,0
tv is awesome picture quality is also best but few things are not so good1 pictures quality is good when it has more brightness if we reduce dark shadows come which is not so good after reducing brightness it won t affect for tv chanel s picture2 google search won t work all the time and it only searches in you tube and application 3 for this price tv is good and awesome picture quality,2
normal model,1
very bad product plz dont buy it,0
this product is matched but flipkart return policy very bad because my previous order despatch not a good product i shall return that product 2 times in app they are called 2 times,0
nicegrip and looking stylish,1
this is an awesome product highly recommended for those who wants home prepared dost and idlyno second thought,2
it was very super product,2
op range,1
look like good but quality and performance very poor very bad quality,0
quick delivery but short in size,1
after boil water not automatic switch off,1
very handy and the cord length is enough long,0
please dont attract to its price there is no quality cyphus formal pant its looking like footpath trousar,0
product is good material quality is also good for the pricebut it make little bit less sound as compare to rivalsand also it dosent have any driver so it is what it isafter plugin use windows update for copatibilityor else it will not work or miss sometimes,2
excellent sound boat always rocks worth for money highly recommended thx to flipkart for hot offer,2
its ok ok type product,1
connectivity is slow,1
very slippery,1
less thickness not stylish as shown in the picture,1
not cotton,0
worst product the table keeps falling off even with a slight jerk very poor quality,0
nice parodect,2
waste seller scratched the scratch card that was provided with device im going to raise case with flipkart about the seller,0
just bought it havent used it yet,1
great productbut very ridiculous behaviour by the demo staff,1
after saving terra bytes of data one fine morning within 3 months of purchase not recognizing when connected to laptop highly unreliable dont ever buy this product in addition to cost effort time and very valuable data is lost please avoid,0
baby8,1
fantastic most important delivery received within a day,2
i think this is a perfect product according to price,2
i have purchased this item after loads of researches to spent my hard earned money delivered and installed within 2 days of order thanks flipkart overall fantastic product with great specifications,2
quality not very small one,1
we got extra 4 tab of revital h for women i saw first time revital tab,1
bad product for this amount,0
product some issue,1
i am using this awesome product from almost 15 days i am fully satisfied with its performance jars quality could have been better it makes very less noise compared to my 20y old onida mixie it has powerful motor that can perform any task with ease it comes with 2y over all product warranty 5y motor warranty which is awesome i mainly bought it to knead dough scrape coconut it perform both tasks easily effectively i havent used juicer yet so cant comment on it over all very,2
good quality smooth fitting and perfect size how i wanted,2
superb quality and sensor system is also available,2
product is good but size is too small,2
good product but some people said this is not working after a day or week ill check and ill edit my review after one weekthank you edited it is working very well no issue,0
it will be an 5 start product if sound quality will improvethis is the only drawback i guess it doesnt produce great sound you have to set highest volume in blutooth and medium sound in your stereo than you able to listen some music n all,0
it os not bad ok,2
15 years boy ferfect but use to break tayer,1
gud but price is high,1
super but its nip is soo small,1
very good product with password the storage space is 18 tb this is more then enough,2
poco c31 not good mobile,0
nice delivery and service,2
not even good product waste never bye and waste money,0
the jacket is small,1
top class gift thanku flipcart,2
damage broken big plate and bowl,0
bad quality dont purchase,0
price little bit higher but its okego for it,1
not stand properly,1
lid is not fitting properly design is very pathetic you need join a course to learn how to fit the lid every time,0
nice but size is small,1
the wide is less as compared to other tables,1
product is good with android os,2
very bad material colour same nahi hbattery support bahut week h,0
acc to price its good it is maybe i guess handmade pant go for it if you want some formal,2
after 1 month my grandson picked the ball and the ball suddenly started leak from the filling point,0
nice router works perfectly fine at my spacious homeusing it for the past one year working absolutely fine,2
mind blowing and eco friendly,2
dont buy waste of money from inner part of jacket woolen threads are removing badly and sticking,0
i am like pencils,2
best quality and affordable very nice,2
sound quality poor,0
damage pic send by flip cark but bat is good,2
super quality assurance of this product,2
must buy a productworth every penny specially thanks to flipkart for provide such a good product in awesome price always better than other ecommerce sites i love the item by design features and 500w moterbajaj mixer grinder is good productu must buy it whenever it on salei purchased it for 1549 inr,2
vast product,0
happy okay,1
not long lastingjust a years use,0
nice but had to shoot,1
i m writing this after using of 2 month best electric kettle in this range,2
i was ordered two hot water with filled gel one is working another one is not working,1
sond is good but no bass up to mark,1
good battery backup best build quality,2
very good quality specially the goggles,2
the product is very good it worth every penny really a awesome cooler it work as it seems lovely 4 rating just because packaging was good it was open from bottom,2
not superb for this price,0
tv is really good picture and sound quality is awesome good resolution with normal dth set top box also watched 4k videos by internet it plays 4k videos also running very good all videos above 720p it is value for money but installtion done by one week late worst experience of flipkart in installation service otherwise tv is good,2
amazing product just loved it so much worth buying product,2
total waste no plant sprouted,0
wast of moneyair through below 5 feetdont buy,0
wifi disconnected issuesi am facing related to wifi get disconnected after playing video for nextforward the videopushpendra kumar noida,0
its ok but it creates a sound after it is switched off its the sound of fan that stops,0
no complaints at all great purchase very nice quality at this price buying another one for mom,2
im reviewing after two months of usage the water tastes good if you have less salt content but the product does not seem to save water as it claims it started giving me trouble in just months the main membrane had to be replaced which is horrible even local ro comes around 1 year and then the tank does not get filled and the water keeps coming from the outlet the technician repaired it but after 4 days it started giving the same problemcontacting the helpline is another horrible t,0
descent,1
size is big uncomfortable to manage,0
just order one month six months used then i will review,1
the fan is good and running smoothly hope that it runs this way for a long time without any trouble bajaj is a reputed company so i dont think i will face any issues the technician mandhu was very polite and helpful in the installation he has done a great job thank you flipcart and bajaj,2
very very super but slow run,2
the shredding blade is very ordinary,1
the car quality was very bad it was not working properly it was broken suggesting don not buy it,0
no demonstration provided by flipkart very disappointing product is good next time i will think twice to purchase any product from flipkart,0
dont by it doesnt work properly after 56 days,0
very nice product i so happy,2
gor for it,2
this ball is very bouncing,1
quality is perfect,1
super quality thank you flip kart,2
poor quality image,0
backlit keyboard not working some keys dont glow properlyspecially the delete keywant to replace,0
fabulous product i am very satisfied,2
bestttt,1
the batter gets heated cant use for long time not convenient as well i fell for the modern looks please be safe and dont order this scrap,0
worth proved,2
very thick sweatshirt,1
dont purchase major side effects hai iske,0
there is problem with the inverter it is always running and charging the battery my electricity bill is double this month after installing the new inverter,0
nice products proper fiting clean water good service thank you for flipkart,2
iron not heating,1
this one now not working we need to replace this,0
best product under 1500 its really good product must buy,2
the cycle is amazing and was packed perfectly,2
exact same in the picturebeautiful itemthank you flip kart and sellerthank you,2
worst it broke within 2 days just alone while serving hot rice in plate too weak and i think this product is not resistant to heat,0
design and price of this machine are good but this machine washing quality are very bad this washing machine not clear any strain if lite or heavy i use any type of detergentliquid or powderbut not improved washing quality so i suggest not buy this washing machine,0
this oven not suetable for making cakes,1
good quality products must buy,2
very small in size than you shown in picture,1
very bad your service your product are not good,0
i m writing a review after 12 days20 out of 6 seeds r sprouted nyc,1
everything is working fine till now1 week only build issue i could see is that hinge is little weak and flutters when used under ceiling fan which is kind of annoying sometimes,0
the grinding is not smooth,1
waste of money it sinks when washed with water,0
awesome im receiving tv today the installation is in the super fast in the evening im very happy,2
size is very small,0
130mbps speed,1
for those who want bass dont purchase bass is not bad but is not super awesome sound quality is perfect very comfortable very nice design microphone is awesome battery backup is what i liked the most 2hrs of charging gives you 78 hrs of continous useoverall these are worth your money,2
delivered in time with no damage table is quite good installation i faced difficulty since the stand wholes position are not accurate wrt table top,0
good laptop should go for it when it comes down to 4547k design is pretty good rbg keyboard gives totally magnificent vibes performance is good at this price rage overall good purchase i can say,2
nice pridak,2
no smell more than 2 hours,0
fast deliverygood packingbad quality remote connectivity issues,1
nice fitting value for money,2
quality is better,2
it s total worth it,2
product is ok and reached on time thanx to flipkart team,2
scratch too much,1
perfume smell was nice but its no longer,0
good but little expensive,1
its a good product good experience full on paisa vasool,2
product is goodflipkart delivery is awesomebut installation is delay from samsung,1
i purchased it as of 64 gb but it is only 5923 gb storage capacity,0
this product not nice the liquid is coming in the kit is low,0
not fitting size,0
very nice product im very happy and safe deliverythanks flipkart,2
best stabilizer upto 55 tv used for my 50 tv its working fine good packaging warranty card kept in inside the box,2
the product is nice its value for money and the water is good taste this item suitable for middle classes,2
excellent demo and prompt service received,2
after 2 days its not working,0
bought it after reading a lot of favourable reviews was disappointed on using it it is very hard even for adult people feels like you are hitting a stone stay away from this unless you are playing with metal legs,0
product is good but dolby audio missing,1
cant wash it with water,1
original product wifi required good product as mentioned,2
purchased this for 585k i couldnt have made a better choice although battery discharges first but thats common with every gaming laptop moreover not doing heavy tasks and using it on low settings can give a battery life of 67 hours,0
